@relation 'SMILEfeatures-weka.filters.unsupervised.attribute.Remove-V-R685,1441,1432,1442,676,686,684,1440,712,713,671,1446,1584'

@attribute F0finEnv_sma_quartile2 numeric
@attribute F0final_sma_quartile2 numeric
@attribute F0final_sma_amean numeric
@attribute F0final_sma_quartile3 numeric
@attribute F0finEnv_sma_amean numeric
@attribute F0finEnv_sma_quartile3 numeric
@attribute F0finEnv_sma_quartile1 numeric
@attribute F0final_sma_quartile1 numeric
@attribute voicingFinalUnclipped_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_pctlrange0-1 numeric
@attribute lspFreq_sma[7]_pctlrange0-1 numeric
@attribute F0final_sma_percentile99.0 numeric
@attribute gender {m,f}

@data
167.8504,161.6861,153.4523,173.315,166.7149,185.2722,147.9451,133.1551,0.846272,0.846272,0.242178,213.7948,f
215.8322,206.184,195.3217,225.1313,222.1079,231.6326,206.9874,170.1482,0.843564,0.843564,0.422243,366.0885,f
183.3516,179.1155,171.4407,203.4731,183.1308,210.0906,161.2842,151.9905,0.871163,0.681866,0.367756,239.3202,f
199.0769,194.4547,186.134,213.4268,203.7912,217.4394,191.3734,182.3603,0.828471,0.828471,0.321492,237.7198,m
165.2253,154.8918,151.8372,179.477,172.2475,199.2474,149.7599,129.2408,0.842916,0.842916,0.403857,226.1028,f
240.043,230.4198,212.77,251.7323,231.6097,254.9585,217.8711,187.1807,0.865289,0.865289,0.208072,283.619,f
100.9096,102.1371,95.32119,106.1709,99.57433,105.8257,96.09436,96.74512,0.763176,0.763176,0.434299,137.8485,m
125.3152,118.3596,120.6635,142.8254,136.6741,165.6527,117.0837,113.1816,0.809678,0.809678,0.419317,179.684,m
112.0855,107.9507,103.5732,126.1596,110.2347,127.2738,104.1648,85.977,0.794822,0.794822,0.504484,188.6169,m
122.0499,116.4445,110.0437,134.0494,131.1296,139.2768,115.9903,76.8131,0.763744,0.763744,0.306801,217.8646,m
155.5559,155.8189,146.1227,167.1248,151.1718,163.1215,143.6813,144.5008,0.810438,0.810438,0.149441,181.0828,m
196.8121,188.6361,165.7548,202.0137,193.8953,205.2999,188.6973,134.7406,0.80977,0.80977,0.198448,211.8359,f
225.3304,226.659,203.0313,238.4793,212.1214,236.0596,189.584,178.611,0.877047,0.537265,0.320296,266.0791,f
262.2379,267.7937,243.5305,288.4622,259.7124,312.1957,217.0977,211.1762,0.876693,0.876693,0.261777,350.6332,f
134.9909,126.3712,105.1392,135.6533,136.1111,140.8472,134.4643,85.77363,0.764829,0.764829,0.38198,147.653,m
117.5507,115.3373,108.0308,121.7556,118.2399,123.0445,112.1444,107.7679,0.770996,0.770996,0.502279,141.8466,m
214.2479,178.8399,178.7007,217.5508,200.0632,230.2825,171.7238,156.8956,0.852312,0.852312,0.392549,237.0093,f
134.1597,124.8666,115.8052,137.4661,137.3425,144.3372,124.5535,92.08979,0.790768,0.695589,0.247915,184.3436,m
215.9597,215.6062,197.1821,227.584,213.3321,227.2137,192.5217,173.8396,0.869988,0.512706,0.35062,297.5107,f
184.6858,179.9437,158.2395,191.2639,179.4323,192.4105,170.6708,129.5881,0.823928,0.823928,0.37315,221.5284,f
131.372,120.8381,121.8009,155.3234,129.8244,146.8825,117.2899,96.42867,0.782645,0.782645,0.321888,199.1208,m
0,0,0,0,0,0,0,0,0.68684,0.68684,0.427939,0,m
107.5327,107.6948,98.7857,119.5729,107.4601,119.6665,103.9476,83.2095,0.775832,0.775832,0.255278,130.1565,m
125.0108,111.7332,103.7865,135.4939,125.4371,138.4674,113.3868,78.34102,0.767359,0.767359,0.28656,158.0703,m
193.1451,187.5941,171.4817,206.8988,200.5421,214.998,186.1469,134.7949,0.843707,0.645423,0.256908,286.4554,f
246.1734,227.5743,205.8506,252.983,234.1921,263.133,214.6919,174.9506,0.848452,0.848452,0.351213,292.277,f
204.7853,187.2444,192.7132,231.0234,215.6307,240.1845,185.6142,161.0371,0.848636,0.848636,0.224182,350.9218,f
151.4658,144.4796,128.5794,154.4927,153.7663,169.1114,143.1353,97.34609,0.795596,0.795596,0.430001,194.1092,m
168.4821,128.9723,128.7377,169.5628,170.0838,190.7097,168.4821,91.32835,0.737712,0.737712,0.162745,200.5995,m
144.2585,144.1918,141.8684,163.446,153.3033,167.2593,137.7478,135.7003,0.819396,0.819396,0.264254,219.2082,f
117.4813,118.4644,115.1577,141.1564,121.6413,131.0422,109.4871,102.2365,0.788585,0.788585,0.135585,164.2471,m
204.5762,182.0158,173.1575,219.9897,198.3583,219.9715,172.9755,138.1449,0.82128,0.82128,0.269185,288.0167,f
180.7623,178.1443,158.5223,191.3167,175.0265,191.6977,160.5698,123.9811,0.853703,0.853703,0.254651,236.5482,f
111.7435,108.2226,99.55043,121.3719,101.7838,117.0244,108.9188,78.05255,0.761243,0.761243,0.243907,153.071,m
122.1007,109.8784,97.81402,118.684,116.4274,138.9032,111.7492,74.00879,0.7536,0.7536,0.365037,171.3091,m
233.4548,209.4211,204.5927,250.3321,228.8847,260.1649,207.0697,178.9254,0.855993,0.855993,0.200077,279.0172,f
130.571,122.9856,113.912,136.4502,125.3787,138.4768,115.5418,103.0576,0.792278,0.792278,0.363243,154.6832,m
204.0639,203.5804,183.9652,217.2881,220.2484,243.9354,186.6566,136.1477,0.80849,0.78754,0.321674,306.3878,f
121.7838,116.0793,108.0177,125.6639,124.3858,129.4746,111.8789,90.31327,0.775198,0.775198,0.490542,210.0888,m
169.7032,142.3035,139.1631,179.0117,163.447,192.4124,132.5458,117.5701,0.813418,0.813418,0.149038,213.6901,f
